assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
7,15,556,100.0,100.0,6,114283,0,0,-1,1,1160.4,7,6,3,3,1.0,1.5,2,Jack,2.0,62,7,269.7,11,6,29,False,769.6,31,11,3053,,2019-10-26T18:30:22.524063Z,59,0,1,0,114283.jpg,4.0,0,0,Grealish,14.4,False,,a,2,7,770.0,38,17,135,3402965,10475,2817016,24778,0.3,22.9,Grealish,8
5,0,278,100.0,100.0,5,193488,-1,1,-3,3,482.2,54,41,0,3,0.4,0.9,1,Anwar,1.4,48,4,152.0,61,35,30,False,383.2,186,74,2045,,2020-02-22T17:30:19.276253Z,52,0,0,0,193488.jpg,2.8,0,0,El Ghazi,0.7,False,,a,2,7,655.0,48,24,92,308522,196,296417,762,0.3,17.7,El Ghazi,3
2,4,310,100.0,100.0,5,122806,-1,1,-3,3,468.4,59,45,0,3,0.7,1.2,2,John,1.7,40,3,136.4,80,46,31,False,435.0,155,57,2132,,2019-12-21T17:00:13.681907Z,52,0,0,0,122806.jpg,2.9,0,0,McGinn,2.7,False,,a,2,7,463.0,74,39,76,1420270,178,1467491,1139,0.3,14.6,McGinn,3
0,0,0,0.0,0.0,0,174597,0,0,-2,2,0.0,633,263,0,3,0.0,0.0,0,Andre,0.0,0,0,0.0,641,264,32,False,0.0,639,262,0,Joined Charlton Athletic on loan until the end of the season on 2/1. - Expected back 01 Aug,2019-08-04T16:30:15.274646Z,48,0,0,0,174597.jpg,0.0,0,0,Green,0.0,False,,n,2,7,0.0,627,263,0,504,2,1565,5,0.0,0.0,Green,0
0,0,0,0.0,0.0,0,27770,0,0,0,0,0.0,582,230,0,3,0.0,0.0,0,Birkir,0.0,0,0,0.0,595,232,33,False,0.0,592,229,0,Left Aston Villa by mutual consent on 8/8.,2019-08-08T15:30:15.672945Z,45,0,0,0,27770.jpg,0.0,0,0,Bjarnason,0.0,False,,u,2,7,0.0,566,224,0,794,1,7906,6,0.0,0.0,Bjarnason,0
1,0,44,100.0,100.0,1,221239,0,0,-2,2,70.7,305,161,0,3,0.3,0.8,1,Keinan,1.3,6,0,29.2,355,154,34,False,27.4,440,183,494,,2020-02-03T23:00:14.489212Z,43,0,0,0,221239.jpg,1.4,0,0,Davis,0.3,False,,a,2,7,204.0,189,102,23,39833,181,46331,369,0.3,5.3,Davis,0
0,0,34,100.0,100.0,0,40564,0,0,-1,1,27.2,385,186,0,3,-1.0,-0.5,0,Henri,0.0,6,0,5.5,446,191,35,False,13.4,458,191,189,,2019-11-08T18:00:15.526636Z,44,0,0,0,40564.jpg,1.2,0,0,Lansbury,0.3,False,,a,2,7,13.0,401,186,11,69456,19,68074,86,0.0,2.5,Lansbury,0
1,0,48,100.0,100.0,2,89274,0,0,-3,3,56.9,324,169,0,3,-0.7,-0.2,0,José Ignacio,0.3,5,0,17.3,397,172,36,False,47.0,420,175,329,,2019-10-17T13:00:14.384046Z,57,0,0,0,89274.jpg,1.7,0,0,Peleteiro Romallo,0.2,False,,a,2,7,73.0,310,153,17,17728,31,30692,55,0.1,3.0,Jota,0
0,3,346,0.0,0.0,4,21205,0,0,-2,2,0.3,475,12,1,1,0.0,0.0,0,Tom,0.0,35,0,50.7,290,17,94,False,507.4,116,17,1794,Knee injury - Unknown return date,2020-01-01T15:00:18.235936Z,43,1,0,0,21205.jpg,3.0,0,67,Heaton,2.1,False,,i,2,7,0.0,530,42,59,295370,17,566821,519,0.0,13.7,Heaton,0
0,0,32,75.0,100.0,0,61603,0,0,-1,1,21.2,396,190,0,3,-0.8,-0.5,0,Daniel,0.0,11,0,4.7,450,192,120,False,18.6,450,188,317,Muscle injury - 75% chance of playing,2020-07-17T23:30:16.075983Z,44,0,0,0,61603.jpg,1.2,0,0,Drinkwater,0.6,False,,d,2,7,8.0,416,194,6,26158,52,141682,117,0.0,1.4,Drinkwater,1
