element_type,defender,attacker,points_per_game,ict_index_pg,influence_pg,creativity_pg,threat_pg,bps_pg,form,ep_next,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_atk,opp_ict_index_conceded_pg_def,opp_ict_index_conceded_pg_atk_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_atk,opp_influence_conceded_pg_def,opp_influence_conceded_pg_atk_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_atk,opp_creativity_conceded_pg_def,opp_creativity_conceded_pg_atk_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_atk,opp_threat_conceded_pg_def,opp_threat_conceded_pg_atk_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_atk,opp_bps_conceded_pg_def,opp_bps_conceded_pg_atk_last5,opp_bps_conceded_pg_def_last5,next_points
3,0,1,3.1,4.15,10.65,14.15,16.87,7.26,1.4,0.9,3.5,6.25,11.5,16.5,28.25,17.5,3,1,1.8,1.6,1.6,2.8,24.9,12.7,27.6,8.4,35.6,17.1,25.0,9.7,116.6,106.3,94.9,55.2,119.4,38.4,75.5,29.5,120.6,25.7,79.6,11.6,97.2,86.1,106.0,65.8,1
3,0,1,3.4,5.31,18.44,24.98,9.69,14.92,4.4,4.4,4.4,6.62,18.2,23.32,27.72,15.4,5,1,2.6,0.9,2.8,0.6,19.0,9.0,17.6,7.6,21.4,13.2,16.4,14.4,78.3,93.2,68.4,91.9,63.9,22.7,44.1,21.8,72.0,16.5,52.6,30.8,67.8,70.8,59.6,67.6,2
2,1,0,3.3,2.93,13.92,9.18,6.14,15.71,1.4,1.4,1.75,1.27,8.5,6.7,4.63,1.5,2,0,1.3,1.2,0.8,0.8,23.7,15.6,24.8,22.6,32.9,15.4,40.9,18.7,108.3,102.4,125.6,132.7,102.2,30.2,143.4,36.5,119.9,21.4,141.4,16.8,80.5,84.4,72.8,103.6,1
3,0,1,3.4,4.85,19.96,19.4,9.1,14.0,3.3,3.8,3.33,5.88,16.67,23.67,26.43,8.67,2,0,1.3,2.0,1.2,2.2,29.8,18.6,39.6,15.6,40.1,16.6,57.6,20.6,148.8,102.7,209.8,124.2,118.3,34.2,169.1,45.4,134.1,28.6,197.2,37.0,108.5,87.9,141.6,88.0,2
4,0,1,2.3,2.57,8.07,4.95,12.89,5.6,3.8,3.3,3.8,5.96,12.0,20.52,7.26,31.4,4,1,1.9,1.2,2.3,1.0,24.2,13.2,24.3,10.0,32.4,17.0,31.4,21.8,116.8,114.9,127.5,152.6,93.7,33.9,82.9,41.2,113.9,21.4,102.3,25.0,88.7,87.4,89.2,85.3,2
3,0,1,2.5,3.15,16.93,4.24,10.18,11.09,1.5,1.5,1.5,2.9,9.17,15.87,5.52,7.5,2,0,0.9,1.8,1.4,2.6,28.7,24.1,36.8,19.2,38.9,18.1,51.6,14.6,137.4,111.6,192.0,78.8,116.5,39.7,153.9,45.1,136.3,28.8,170.4,22.2,104.4,107.5,137.8,91.4,1
3,0,1,3.0,4.11,20.95,14.82,5.31,16.51,2.8,2.8,3.4,3.96,18.2,22.68,10.96,5.8,3,0,1.5,1.2,1.4,0.6,21.9,15.3,19.2,12.6,32.9,16.8,24.7,16.9,101.8,94.7,80.8,100.9,107.4,43.9,94.6,42.1,120.1,29.4,70.6,26.6,79.8,85.6,69.2,83.6,9
3,0,1,3.1,2.78,12.44,3.78,11.62,8.75,4.4,3.9,4.4,3.62,12.2,17.64,5.24,13.4,2,1,1.4,1.4,1.7,1.3,26.6,17.4,26.5,16.0,38.2,16.5,31.4,15.0,123.8,98.2,109.5,93.7,115.2,37.2,106.0,38.4,143.6,29.3,98.8,17.7,96.9,92.4,92.0,89.0,1
2,1,0,2.4,3.77,20.15,7.71,9.73,15.88,0.4,0.4,1.0,0.3,3.5,3.0,0.0,0.0,3,1,1.9,0.9,3.2,1.3,20.1,15.4,26.3,15.5,28.6,14.9,30.3,19.2,94.4,101.1,116.1,140.6,89.9,26.3,90.8,26.6,102.2,21.0,95.7,23.8,74.9,85.9,103.3,103.8,1
3,0,1,3.6,4.33,17.02,14.91,11.33,12.73,3.4,2.9,3.4,4.66,9.2,14.28,20.02,12.2,3,1,1.8,1.6,1.6,2.8,24.9,12.7,27.6,8.4,35.6,17.1,25.0,9.7,116.6,106.3,94.9,55.2,119.4,38.4,75.5,29.5,120.6,25.7,79.6,11.6,97.2,86.1,106.0,65.8,8
